"Id","ProcessName","Path","StartTime"
"5820","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:52:36 AM"
"6044","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 11:02:45 AM"
"6512","svchost","C:\WINDOWS\System32\svchost.exe","9/8/2026 10:57:19 AM"
"6980","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:52:46 AM"
"7040","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:53:12 AM"
"7076","svchost",,"9/8/2026 11:28:38 AM"
"7084","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:53:23 AM"
"7232","svchost","C:\WINDOWS\System32\svchost.exe","9/8/2026 11:40:11 AM"
"7244","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:53:03 AM"
"7272","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:52:48 AM"
"7528","svchost","C:\WINDOWS\System32\svchost.exe","9/8/2026 11:02:48 AM"
"7828","svchost","C:\WINDOWS\System32\svchost.exe","9/8/2026 10:52:54 AM"
"9672","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 10:55:30 AM"
"10136","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 11:39:34 AM"
"11064","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 11:02:46 AM"
"12988","svchost","C:\WINDOWS\system32\svchost.exe","9/8/2026 11:38:08 AM"
"14092","svchost","C:\WINDOWS\System32\svchost.exe","9/8/2026 11:38:19 AM"
"4","System",,"9/8/2026 10:51:12 AM"
"12192","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","9/8/2026 11:39:11 AM"
"5916","taskhostw","C:\WINDOWS\system32\taskhostw.exe","9/8/2026 10:52:37 AM"
"12360","taskhostw","C:\WINDOWS\system32\taskhostw.exe","9/8/2026 11:09:15 AM"
"9912","UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","9/8/2026 10:54:38 AM"
"9064","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.21100.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","9/8/2026 11:12:47 AM"
"7544","WidgetService","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","9/8/2026 11:12:48 AM"
"676","wininit",,"9/8/2026 10:51:12 AM"
"748","winlogon","C:\WINDOWS\system32\winlogon.exe","9/8/2026 10:51:12 AM"
"3316","WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","9/8/2026 11:39:53 AM"
"7552","WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","9/8/2026 11:39:56 AM"
